🕘️更新时间,#genre#
2026-01-19 06:29:49,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8

📺央视频道,#genre#
CCTV-16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CETV-1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227021/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ELlgU9sgTT7iMtFgKHFa-dA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CETV-2,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000071/index.m3u8?
CETV-4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226997/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EAw_OvjRgJVjtlaOa0dcgzg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

📡卫视频道,#genre#
东方卫视,https://live.lalifeier.eu.org/kankanews/dfws.m3u8?t=1768771475&key=5c4a3ac0c9cb34f64599b6df037f6744
河北卫视,https://live.lalifeier.eu.org/hebtv/hbws.m3u8?t=1768771475&key=4242f3970d86e7787b80e317478fafcf
河南卫视,https://live.lalifeier.eu.org/hntv/hnws.m3u8?t=1768771475&key=f05e19c7f7ba541d7079279838e3854a

☘️广东频道,#genre#
广州综合,https://live.lalifeier.eu.org/gztv/zhonghe.m3u8?t=1768771475&key=0f4c94d3d6ae1b3dfd7870363e0ff7b6
广州影视,https://live.lalifeier.eu.org/gztv/yingshi.m3u8?t=1768568336&key=d6e560a2c83b108f68a8cd42ac49e324
广州影视,https://live.lalifeier.eu.org/gztv/yingshi.m3u8?t=1768598890&key=a80a06de8a7d01094aa108f17462e264
广州影视,https://live.lalifeier.eu.org/gztv/yingshi.m3u8?t=1768642057&key=391224bd1ab9a74eb5803fc30bc6456b
广州影视,https://live.lalifeier.eu.org/gztv/yingshi.m3u8?t=1768685091&key=ff341fdde5b434679b25be2970512694
广州影视,https://live.lalifeier.eu.org/gztv/yingshi.m3u8?t=1768728478&key=d7e108e256bbc4b5f8f9d70abb648ea1
广州竞赛,https://live.lalifeier.eu.org/gztv/jingsai.m3u8?t=1768568336&key=1573a51e86e2911b14594c2fea880541
广州竞赛,https://live.lalifeier.eu.org/gztv/jingsai.m3u8?t=1768598890&key=9c1652732c40fd9576b8cbf82aa0f198
广州竞赛,https://live.lalifeier.eu.org/gztv/jingsai.m3u8?t=1768642057&key=61b355afd05673f99f9214c0e891319f
广州竞赛,https://live.lalifeier.eu.org/gztv/jingsai.m3u8?t=1768685091&key=7ec377f9414973547bfd23fb243ebd0a
广州竞赛,https://live.lalifeier.eu.org/gztv/jingsai.m3u8?t=1768728478&key=3a192fdbeb00328f16bab6d2c3bf74c4
佛山综合,https://live.lalifeier.eu.org/fstv/fszh.m3u8?t=1768568336&key=9882b2cf69662ad161740b71e1f3af61
佛山综合,https://live.lalifeier.eu.org/fstv/fszh.m3u8?t=1768598890&key=8a13ceb8b67f86b84f715e2f65840913
佛山综合,https://live.lalifeier.eu.org/fstv/fszh.m3u8?t=1768642057&key=c258fd486b0c7687d38ce58207f2ccff
佛山综合,https://live.lalifeier.eu.org/fstv/fszh.m3u8?t=1768685091&key=da99b81a77058e36d70f9fbd06a96c22
佛山综合,https://live.lalifeier.eu.org/fstv/fszh.m3u8?t=1768728478&key=7a924f19dddce58da104aa94618b9fe5
深圳卫视,https://live.lalifeier.eu.org/sztv/szws.m3u8?t=1768568336&key=38846ff4ab11eebd32af5b58f52129e7
深圳卫视,https://live.lalifeier.eu.org/sztv/szws.m3u8?t=1768598890&key=75b5a1db585f9394783844da869766bb
深圳卫视,https://live.lalifeier.eu.org/sztv/szws.m3u8?t=1768642057&key=618a303a4b3bfaa1934a189934a6262d
深圳卫视,https://live.lalifeier.eu.org/sztv/szws.m3u8?t=1768685091&key=313d39413d0833ee1f4ca5a4a271cdeb
深圳卫视,https://live.lalifeier.eu.org/sztv/szws.m3u8?t=1768728478&key=c710e2183508f611fb7cc7842dac1a09
